    PID TTY          TIME CMD
   1869 ?        00:00:00 systemd-udevd
   1870 ?        00:00:00 systemd-udevd
   1871 ?        00:00:00 systemd-udevd
   1872 ?        00:11:12 systemd-udevd
   1873 ?        00:00:00 systemd-udevd
   1874 ?        00:00:00 systemd-udevd
   1982 ?        00:00:34 vmtoolsd
   2100 ?        00:00:00 VGAuthService
   2932 ?        00:00:00 vmware-vmblock-
   3556 ?        00:00:00 gdm3
   3585 ?        00:00:00 rtkit-daemon
   3693 ?        00:00:00 upowerd
   3968 ?        00:00:00 colord
   4078 ?        00:00:00 gdm-session-wor
   4116 ?        00:00:47 systemd
   4117 ?        00:00:00 (sd-pam)
   4126 ?        00:00:11 pulseaudio
   4128 ?        00:00:00 tracker-miner-f
   4131 ?        00:00:00 gnome-keyring-d
   4136 ?        00:00:03 dbus-daemon
   4139 ?        00:00:00 gvfsd
   4144 ?        00:00:00 gvfsd-fuse
   4163 ?        00:00:00 gvfs-udisks2-vo
   4169 ?        00:00:01 gvfs-afc-volume
   4176 ?        00:00:00 gvfs-goa-volume
   4180 ?        00:00:00 goa-daemon
   4191 ?        00:00:00 goa-identity-se
   4198 ?        00:00:00 gvfs-mtp-volume
   4203 tty2     00:00:00 gdm-x-session
   4204 ?        00:00:00 gvfs-gphoto2-vo
   4209 tty2     00:01:49 Xorg
   4259 tty2     00:00:00 gnome-session-b
   4328 ?        00:00:00 ssh-agent
   4351 ?        00:00:00 at-spi-bus-laun
   4356 ?        00:00:00 dbus-daemon
   4368 ?        00:00:00 gnome-session-c
   4388 ?        00:00:00 dconf-service
   4392 ?        00:00:00 gnome-session-b
   4408 ?        00:03:28 gnome-shell
   4439 ?        00:00:01 ibus-daemon
   4446 ?        00:00:00 ibus-memconf
   4447 ?        00:00:01 ibus-extension-
   4449 ?        00:00:00 ibus-x11
   4451 ?        00:00:00 ibus-portal
   4464 ?        00:00:00 at-spi2-registr
   4468 ?        00:00:00 gnome-shell-cal
   4469 ?        00:00:00 xdg-permission-
   4479 ?        00:00:00 evolution-sourc
   4490 ?        00:00:00 evolution-calen
   4503 ?        00:00:00 evolution-addre
   4504 ?        00:00:00 gvfsd-metadata
   4522 ?        00:00:00 gjs
   4530 ?        00:00:00 gvfsd-trash
   4541 ?        00:00:00 gsd-a11y-settin
   4542 ?        00:00:00 gsd-color
   4544 ?        00:00:00 gsd-datetime
   4545 ?        00:00:01 gsd-housekeepin
   4547 ?        00:00:00 gsd-keyboard
   4548 ?        00:00:00 gsd-media-keys
   4551 ?        00:00:00 gsd-power
   4552 ?        00:00:00 gsd-print-notif
   4553 ?        00:00:00 gsd-rfkill
   4555 ?        00:00:00 gsd-screensaver
   4556 ?        00:00:00 gsd-sharing
   4557 ?        00:00:00 gsd-smartcard
   4558 ?        00:00:00 gsd-sound
   4567 ?        00:00:00 gsd-usb-protect
   4568 ?        00:00:00 gsd-wacom
   4570 ?        00:00:00 gsd-wwan
   4574 ?        00:00:00 gsd-xsettings
   4580 ?        00:00:00 evolution-alarm
   4600 ?        00:00:00 gsd-disk-utilit
   4613 ?        00:00:37 vmtoolsd
   4641 ?        00:00:00 gsd-printer
   4697 ?        00:00:00 ibus-engine-sim
   5137 ?        00:00:00 gnome-calendar
   5139 ?        00:00:00 seahorse
   5757 ?        00:00:01 update-notifier
   9349 ?        00:00:00 loop5
   9387 ?        00:01:48 snapd
  16738 ?        00:00:00 ssh-agent
  17357 ?        00:00:00 sshd
  61101 ?        00:00:00 cupsd
  61104 ?        00:00:00 cups-browsed
 173829 ?        00:00:00 gvfsd-recent
 174007 ?        00:00:00 gvfsd-network
 174407 ?        00:00:00 gvfsd-dnssd
 193048 ?        00:00:08 kworker/u256:3-scsi_tmf_3
 193183 ?        00:00:00 kworker/2:2-rcu_par_gp
 199054 ?        00:00:00 kworker/0:2-rcu_gp
 199298 ?        00:00:01 kworker/1:0-cgroup_destroy
 201316 ?        00:00:04 gnome-terminal-
 201440 ?        00:00:00 kworker/2:1-events
 203030 pts/1    00:00:00 bash
 203495 ?        00:00:00 kworker/3:2-events
 206860 ?        00:00:01 kworker/u256:1-events_power_efficient
 209784 ?        00:00:01 kworker/u256:2-events_unbound
 210373 ?        00:00:00 kworker/3:0-events
 210864 ?        00:00:00 kworker/0:0-events
 210865 ?        00:00:00 kworker/1:1-mm_percpu_wq
 211118 ?        00:00:00 kworker/2:0-mm_percpu_wq
 212028 pts/1    00:00:00 script
 212029 pts/0    00:00:00 bash
 212140 ?        00:00:00 kworker/u256:0-scsi_tmf_3
 213223 ?        00:00:00 cdrom_id
 213224 pts/0    00:00:00 ps
